,source_taxon_name,interaction_type,target_taxon_name
78,Apis mellifera,pollinates,Echium wildpretii
79,Apis mellifera,pollinates,Pimpinella cumbrae
80,Apis mellifera,pollinates,Pterocephalus lasiospermus
81,Apis mellifera,pollinates,Cytisus supranubius
82,Apis mellifera,pollinates,Argyranthemum tenerifae
83,Apis mellifera,pollinates,Isodon inflexus
84,Apis mellifera,pollinates,Swida
85,Apis mellifera,pollinates,Arnica montana
86,Apis mellifera,pollinates,Cardaria draba
87,Apis mellifera,pollinates,Daphnopsis americana
88,Apis mellifera,pollinates,Saussurea
89,Apis mellifera,pollinates,Sideritis
90,Apis mellifera,pollinates,Thymelaea hirsuta
91,Apis mellifera,pollinates,Drimia maritima
92,Apis mellifera,pollinates,Helichrysum stoechas
93,Apis mellifera,pollinates,Chondrilla juncea
94,Apis mellifera,pollinates,Thapsia garganica
95,Apis mellifera,pollinates,Turnera ulmifolia
96,Apis mellifera,pollinates,Banisteriopsis muricata
97,Apis mellifera,pollinates,Chondrilla
98,Apis mellifera,pollinates,Brucea javanica
99,Apis mellifera,pollinates,Hydrangea paniculata
100,Apis mellifera,pollinates,Galactites tomentosa
101,Apis mellifera,pollinates,Globularia alypum
102,Apis mellifera,pollinates,Anemone pavonina
103,Apis mellifera,pollinates,Heliotropium europaeum
104,Apis mellifera,pollinates,Thymus capitatus
105,Apis mellifera,pollinates,Asparagus acutifolius
106,Apis mellifera,pollinates,Cordia globosa
107,Apis mellifera,pollinates,Erica arborea
108,Apis mellifera,pollinates,Cistus monspeliensis
109,Apis mellifera,pollinates,Asphodelus aestivus
110,Apis mellifera,pollinates,Dahlia coccinea
111,Apis mellifera,pollinates,Ballota acetabulosa
112,Apis mellifera,pollinates,Ecballium elaterium
113,Apis mellifera,pollinates,Weigela hortensis
114,Apis mellifera,pollinates,Lavandula stoechas
115,Apis mellifera,pollinates,Bauhinia divaricata
116,Apis mellifera,pollinates,Cayratia japonica
117,Apis mellifera,pollinates,Sphagneticola trilobata
118,Apis mellifera,pollinates,Medusagyne oppositifolia
119,Apis mellifera,pollinates,Colea seychellarum
120,Apis mellifera,pollinates,Craterispermum microdon
121,Apis mellifera,pollinates,Premna serratifolia
122,Apis mellifera,pollinates,Northea
123,Apis mellifera,pollinates,Alstonia macrophylla
124,Apis mellifera,pollinates,Gastonia
125,Apis mellifera,pollinates,Memecylon elaeagni
126,Apis mellifera,pollinates,Nephrosperma van-houtteanum
127,Apis mellifera,pollinates,Paragenipa
128,Apis mellifera,pollinates,Roscheria melanochaetes
129,Apis mellifera,pollinates,Memecylon ovatifolium
130,Apis mellifera,pollinates,Geniostoma borbonicum
131,Apis mellifera,pollinates,Antirhea borbonica
132,Apis mellifera,pollinates,Cordemoya integrifolia
133,Apis mellifera,pollinates,Grangeria borbonica
134,Apis mellifera,pollinates,Molinaea
135,Apis mellifera,pollinates,Eugenia kanakana
136,Apis mellifera,pollinates,Psiadia terebinthina
137,Apis mellifera,pollinates,Pyrostria fasciculata
138,Apis mellifera,pollinates,Warneckea trinervis
